date	close
10-Sep-12	1
11-Sep-12	1
12-Sep-12	4
13-Sep-12	2
14-Sep-12	2
15-Sep-12	3
16-Sep-12	3
17-Sep-12	4
18-Sep-12	8
19-Sep-12	8
20-Sep-12	6
22-Sep-12	6
23-Sep-12	6
24-Sep-12	4
25-Sep-12	4
26-Sep-12	1
27-Sep-12	3
28-Sep-12	2
29-Sep-12	5
30-Sep-12	1
01-Oct-12	6
02-Oct-12	4
03-Oct-12	5
04-Oct-12	4
05-Oct-12	7
07-Oct-12	4
08-Oct-12	4
09-Oct-12	2
10-Oct-12	6
11-Oct-12	3
12-Oct-12	9
13-Oct-12	2
15-Oct-12	2
16-Oct-12	2
17-Oct-12	3
18-Oct-12	2
19-Oct-12	3
20-Oct-12	6
21-Oct-12	6
22-Oct-12	6
23-Oct-12	2
24-Oct-12	4
25-Oct-12	4
27-Oct-12	3
28-Oct-12	1
29-Oct-12	4
30-Oct-12	1
31-Oct-12	7
01-Nov-12	4
02-Nov-12	2
03-Nov-12	4
04-Nov-12	3
05-Nov-12	2
06-Nov-12	5
07-Nov-12	4
08-Nov-12	1
09-Nov-12	3
10-Nov-12	5
12-Nov-12	4
13-Nov-12	2
14-Nov-12	3
15-Nov-12	4
16-Nov-12	2
18-Nov-12	5
19-Nov-12	4
20-Nov-12	1
21-Nov-12	2
22-Nov-12	2
23-Nov-12	2
24-Nov-12	3
25-Nov-12	3
26-Nov-12	8
27-Nov-12	7
28-Nov-12	6
29-Nov-12	2
30-Nov-12	2
01-Dec-12	4
02-Dec-12	2
03-Dec-12	1
04-Dec-12	2
05-Dec-12	5
06-Dec-12	3
07-Dec-12	1
08-Dec-12	4
09-Dec-12	4
10-Dec-12	3
11-Dec-12	2
12-Dec-12	5
13-Dec-12	5
14-Dec-12	3
15-Dec-12	3
17-Dec-12	7
19-Dec-12	3
20-Dec-12	2
21-Dec-12	1
22-Dec-12	6
23-Dec-12	2
24-Dec-12	4
26-Dec-12	7
27-Dec-12	5
28-Dec-12	15
29-Dec-12	3
30-Dec-12	4
31-Dec-12	2
01-Jan-13	2
02-Jan-13	3
03-Jan-13	5
04-Jan-13	5
05-Jan-13	4
06-Jan-13	6
07-Jan-13	6
08-Jan-13	4
09-Jan-13	3
10-Jan-13	2
11-Jan-13	3
12-Jan-13	2
13-Jan-13	3
14-Jan-13	7
15-Jan-13	7
16-Jan-13	5
17-Jan-13	1
18-Jan-13	3
19-Jan-13	2
20-Jan-13	4
21-Jan-13	5
22-Jan-13	2
23-Jan-13	2
24-Jan-13	3
25-Jan-13	2
26-Jan-13	1
27-Jan-13	3
28-Jan-13	4
29-Jan-13	4
30-Jan-13	1
31-Jan-13	4
01-Feb-13	3
02-Feb-13	5
03-Feb-13	2
04-Feb-13	2
05-Feb-13	1
06-Feb-13	1
07-Feb-13	2
08-Feb-13	4
09-Feb-13	2
10-Feb-13	2
11-Feb-13	2
12-Feb-13	2
13-Feb-13	2
14-Feb-13	5
15-Feb-13	5
16-Feb-13	3
17-Feb-13	2
18-Feb-13	2
19-Feb-13	9
20-Feb-13	4
21-Feb-13	6
22-Feb-13	2
23-Feb-13	2
24-Feb-13	4
25-Feb-13	1
26-Feb-13	1
27-Feb-13	2
28-Feb-13	3
01-Mar-13	1
02-Mar-13	3
03-Mar-13	3
04-Mar-13	3
05-Mar-13	5
07-Mar-13	3
08-Mar-13	1
10-Mar-13	3
11-Mar-13	1
12-Mar-13	2
13-Mar-13	3
14-Mar-13	6
16-Mar-13	2
17-Mar-13	5
18-Mar-13	1
20-Mar-13	5
21-Mar-13	2
22-Mar-13	3
23-Mar-13	4
24-Mar-13	2
25-Mar-13	2
26-Mar-13	1
27-Mar-13	4
28-Mar-13	6
29-Mar-13	2
30-Mar-13	2
31-Mar-13	3
01-Apr-13	4
02-Apr-13	5
03-Apr-13	4
04-Apr-13	2
05-Apr-13	5
06-Apr-13	3
07-Apr-13	4
08-Apr-13	3
09-Apr-13	3
10-Apr-13	10
11-Apr-13	4
12-Apr-13	1
13-Apr-13	1
14-Apr-13	4
15-Apr-13	5
16-Apr-13	6
17-Apr-13	2
18-Apr-13	1
21-Apr-13	2
22-Apr-13	1
23-Apr-13	1
24-Apr-13	2
25-Apr-13	1
26-Apr-13	1
28-Apr-13	3
29-Apr-13	3
30-Apr-13	2
01-May-13	4
02-May-13	3
03-May-13	2
04-May-13	1
06-May-13	2
07-May-13	1
08-May-13	4
09-May-13	1
10-May-13	3
12-May-13	2
13-May-13	5
14-May-13	3
15-May-13	2
16-May-13	5
17-May-13	3
18-May-13	1
19-May-13	2
20-May-13	4
21-May-13	4
22-May-13	3
24-May-13	1
25-May-13	1
26-May-13	4
27-May-13	3
28-May-13	9
29-May-13	5
30-May-13	3
31-May-13	2
01-Jun-13	4
02-Jun-13	1
03-Jun-13	5
04-Jun-13	9
05-Jun-13	2
06-Jun-13	8
07-Jun-13	5
08-Jun-13	1
09-Jun-13	3
10-Jun-13	8
11-Jun-13	1
12-Jun-13	5
13-Jun-13	2
14-Jun-13	3
15-Jun-13	3
16-Jun-13	2
17-Jun-13	5
18-Jun-13	3
20-Jun-13	3
21-Jun-13	4
22-Jun-13	2
23-Jun-13	3
24-Jun-13	3
25-Jun-13	3
26-Jun-13	4
27-Jun-13	3
28-Jun-13	9
29-Jun-13	6
30-Jun-13	4
01-Jul-13	9
02-Jul-13	5
03-Jul-13	9
04-Jul-13	2
06-Jul-13	3
07-Jul-13	2
08-Jul-13	8
09-Jul-13	5
10-Jul-13	2
11-Jul-13	3
12-Jul-13	2
13-Jul-13	1
15-Jul-13	3
16-Jul-13	4
17-Jul-13	1
18-Jul-13	2
19-Jul-13	4
20-Jul-13	2
22-Jul-13	2
23-Jul-13	4
24-Jul-13	3
25-Jul-13	2
26-Jul-13	4
27-Jul-13	2
28-Jul-13	3
29-Jul-13	5
30-Jul-13	11
31-Jul-13	4
01-Aug-13	3
02-Aug-13	1
04-Aug-13	2
05-Aug-13	7
06-Aug-13	5
07-Aug-13	6
08-Aug-13	3
09-Aug-13	3
10-Aug-13	1
11-Aug-13	4
12-Aug-13	5
13-Aug-13	3
14-Aug-13	3
15-Aug-13	5
16-Aug-13	4
